secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s,road_sign_label,road_sign_command,arg1,arg2,arg3
8.26,4.10341,10.241,3.97724,9.96731,0,-294.75,0,1673,1514,1.7647,,,,,
8.28,4.11814,10.2729,3.9909,9.99698,0,-294.69,0,1673,1515,1.63865,,,,,
8.3,4.13148,10.3028,4.0056,10.0289,0,-294.69,0,1674,1513,1.7647,,,,,
8.32,4.14618,10.3347,4.01923,10.0586,0,-294.69,0,1674,1511,1.63865,,,,,
8.34,4.15981,10.3644,4.03392,10.0905,0,-294.69,0,1674,1510,1.7647,,,,,
8.36,4.1745,10.3963,4.04755,10.1201,0,-294.69,0,1677,1511,1.63865,,,,,
8.38,4.18813,10.4259,4.06012,10.1475,0,-294.69,0,1677,1511,1.5126,,,,,
8.4,4.2007,10.4532,4.07373,10.1771,0,-294.62,0,1677,1511,1.63865,,,,,
8.42,4.21394,10.483,4.08837,10.209,0,-294.69,0,1677,1511,1.7647,,,,,
8.44,4.22895,10.5148,4.10095,10.2364,0,-294.69,0,1678,1511,1.5126,,,,,
8.46,4.24153,10.5421,4.11562,10.2683,0,-294.62,0,1677,1510,1.7647,,,,,
8.48,4.25583,10.5742,4.12922,10.2979,0,-294.62,0,1677,1512,1.63865,,,,,
8.5,4.26942,10.6039,4.14282,10.3276,0,-294.56,0,1677,1515,1.63865,,,,,
8.52,4.28271,10.6337,4.15747,10.3596,0,-294.56,0,1677,1513,1.68067,,,,,
8.541,4.29735,10.6657,4.17106,10.3893,0,-294.69,0,1676,1512,1.72489,,,,,
8.56,4.31164,10.695,4.18468,10.4189,0,-294.62,0,1677,1515,1.63865,,,,,
8.58,4.32489,10.7249,4.19725,10.4463,0,-294.69,0,1678,1515,1.5126,,,,,
8.6,4.33783,10.7521,4.21089,10.476,0,-294.69,0,1679,1517,1.63865,,,,,
8.62,4.35147,10.7818,4.22455,10.5057,0,-294.62,0,1679,1517,1.56062,,,,,
8.641,4.36476,10.8117,4.23821,10.5355,0,-294.69,0,1691,1521,1.72489,,,,,
8.66,4.37879,10.8413,4.25295,10.5676,0,-294.62,0,1691,1522,1.7647,,,,,
8.68,4.39316,10.8735,4.26658,10.5973,0,-294.62,0,1691,1525,1.63865,,,,,
8.7,4.40678,10.9033,4.28126,10.6294,0,-294.69,0,1691,1524,1.7647,,,,,
8.72,4.42184,10.9352,4.29598,10.6614,0,-294.62,0,1691,1523,1.68067,,,,,
8.741,4.43619,10.9674,4.30859,10.6889,0,-294.69,0,1691,1517,1.59221,,,,,
8.76,4.44917,10.9947,4.32331,10.7209,0,-294.69,0,1688,1514,1.7647,,,,,
8.78,4.46389,11.0266,4.33589,10.7482,0,-294.69,0,1689,1507,1.5126,,,,,
8.8,4.47647,11.054,4.35159,10.7823,0,-294.75,0,1689,1506,1.89075,,,,,
8.82,4.49249,11.0879,4.3652,10.8119,0,-294.69,0,1685,1504,1.56062,,,,,
8.841,4.50578,11.1176,4.37983,10.8436,0,-294.69,0,1681,1505,1.85758,,,,,
8.86,4.52041,11.1494,4.39656,10.88,0,-294.62,0,1611,1507,1.92076,,,,,
8.881,4.53677,11.1859,4.41117,10.9118,0,-294.69,0,1535,1507,1.85758,,,,,
